Model Type,Experiment,Accuracy,F1,AUC
Ghostbuster,"Out-Domain (char_basic, 0)",0.995,0.994709,0.999198
Ghostbuster,"Out-Domain (char_basic, 1)",0.985,0.983957,0.999398
Ghostbuster,"Out-Domain (char_basic, 2)",0.96,0.956044,0.997694
Ghostbuster,"Out-Domain (char_basic, 3)",0.96,0.956044,0.995589
Ghostbuster,"Out-Domain (char_basic, 4)",0.96,0.956044,0.996892
Ghostbuster,"Out-Domain (char_basic, 5)",0.955,0.950276,0.994085
Ghostbuster,"Out-Domain (char_basic, 10)",0.905,0.888889,0.99188
Ghostbuster,"Out-Domain (char_basic, 20)",0.845,0.805031,0.973835
Ghostbuster,"Out-Domain (char_basic, 50)",0.59,0.240741,0.957594
Ghostbuster,"Out-Domain (char_basic, 100)",0.545,0.080808,0.964712
Ghostbuster,"Out-Domain (char_basic, 200)",0.525,0.0,0.946767
Ghostbuster,"Out-Domain (char_space, 0)",0.995,0.994709,0.999198
Ghostbuster,"Out-Domain (char_space, 1)",0.975,0.972973,0.999499
Ghostbuster,"Out-Domain (char_space, 2)",0.975,0.972973,0.997694
Ghostbuster,"Out-Domain (char_space, 3)",0.965,0.961749,0.998697
Ghostbuster,"Out-Domain (char_space, 4)",0.955,0.950276,0.998095
Ghostbuster,"Out-Domain (char_space, 5)",0.955,0.950276,0.995088
Ghostbuster,"Out-Domain (char_space, 10)",0.915,0.901734,0.99609
Ghostbuster,"Out-Domain (char_space, 20)",0.875,0.848485,0.99188
Ghostbuster,"Out-Domain (char_space, 50)",0.755,0.652482,0.981955
Ghostbuster,"Out-Domain (char_space, 100)",0.595,0.256881,0.993684
Ghostbuster,"Out-Domain (char_space, 200)",0.545,0.080808,0.992882
Ghostbuster,"Out-Domain (char_cap, 0)",0.995,0.994709,0.999198
Ghostbuster,"Out-Domain (char_cap, 1)",0.99,0.989362,0.999098
Ghostbuster,"Out-Domain (char_cap, 2)",0.965,0.961749,0.998897
Ghostbuster,"Out-Domain (char_cap, 3)",0.97,0.967391,0.998396
Ghostbuster,"Out-Domain (char_cap, 4)",0.965,0.961749,0.998195
Ghostbuster,"Out-Domain (char_cap, 5)",0.965,0.961749,0.995789
Ghostbuster,"Out-Domain (char_cap, 10)",0.945,0.938547,0.997494
Ghostbuster,"Out-Domain (char_cap, 20)",0.915,0.901734,0.997193
Ghostbuster,"Out-Domain (char_cap, 50)",0.875,0.848485,0.991278
Ghostbuster,"Out-Domain (char_cap, 100)",0.8,0.733333,0.995789
Ghostbuster,"Out-Domain (char_cap, 200)",0.8,0.733333,0.988772
Ghostbuster,"Out-Domain (word_adj, 0)",0.995,0.994709,0.999198
Ghostbuster,"Out-Domain (word_adj, 1)",0.98,0.978495,0.999699
Ghostbuster,"Out-Domain (word_adj, 2)",0.965,0.961749,0.996491
Ghostbuster,"Out-Domain (word_adj, 3)",0.97,0.967391,0.996792
Ghostbuster,"Out-Domain (word_adj, 4)",0.94,0.932584,0.99208
Ghostbuster,"Out-Domain (word_adj, 5)",0.94,0.932584,0.98817
Ghostbuster,"Out-Domain (word_adj, 10)",0.86,0.82716,0.969524
Ghostbuster,"Out-Domain (word_adj, 20)",0.76,0.661972,0.960902
